股票代码,当前Layer,最终公司名称,最终主营业务,最终Layer,最终分类理由,最终证据来源名称,最终证据URL或数据库字段,最终证据发布日期,证据是否早于2024-12-26,是否使用事件后信息,人工复核状态,审核人备注,本地候选来源是否匹配,股票简称,候选行业,候选来源Layer,候选Layer是否冲突,候选证据日期,候选证据是否早于V3事件,候选分类证据,所属概念,AI_exposure
300075,下游,,,下游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
300168,下游,,,下游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
300170,下游,,,下游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
300188,下游,,,下游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
300253,下游,,,下游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
300781,下游,,,下游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
300785,下游,,,下游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
600410,下游,,,下游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
600556,下游,,,下游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
600570,下游,,,下游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
688228,下游,,,下游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
688369,下游,,,下游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
000997,中游,,,中游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
002230,中游,,,中游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
002236,中游,大华股份,,中游,,,,,待审核,待审核,待审核,,是,大华股份,"计算机,计算机设备,安防设备",上游,是,2024-05-31,是,【人工智能】根据2024年5月31日互动易：公司通过对人工智能技术研发领域十余年的探索，构筑了“1+2”的人工智能能力体系，致力于将人工智能技术不断融入行业业务，深入超8000个细分场景，赋能千行百业提质增效。以电力行业为例，公司AI能力能够实现整个行业的80多个功能，包括各类异物检测（鸟巢、塑料袋、气球等）、电力场景真实孪生重现（变电站场景的全貌、仪表运行状态检测）及行业高效决策（施工操作推演实训、运维数据自主分析）等。,"物联网,人脸识别,车联网(车路协同),鸿蒙概念,工业互联网,智慧城市,数字孪生,人工智能,安防,DeepSeek概念,AI应用,智慧灯杆,AI智能体,星闪概念,智能物流,网约车,网络安全,时空大数据,低空经济,华为鲲鹏,智能家居,数字经济,信创,养老概念,数据要素,虚拟现实,多模态AI,机器人概念,云计算,数据安全,新型工业化,充电桩,水利,华为昇腾,智能电网,无人机,机器视觉,人民币贬值受益,乡村振兴,东数西算(算力),无人驾驶,智能座舱,卫星导航,传感器,海工装备,PPP概念,数据中心(AIDC),毫米波雷达,汽车电子,MicroLED概念,5G,证金持股,MiniLED,OLED,存储芯片,融资融券,深股通,计算机,计算机设备,安防设备,激光雷达,交换机,车载摄像头,华为系算力,数据采集",0.8
002253,中游,,,中游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
002405,中游,,,中游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
002415,中游,,,中游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
002777,中游,,,中游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
300033,中游,同花顺,,中游,,,,,待审核,待审核,待审核,,是,同花顺,"计算机,软件开发,垂直应用软件",下游,是,2023-12-31,是,【人工智能】根据2023年年报，公司继续加大人工智能技术应用研发，尤其是重点加大人工智能大模型相关的技术与公司现有的产品和服务体系之间的融合，为用户提供更好的产品及服务质量，进一步提升公司产品的竞争力。公司致力于打造基于人工智能技术应用的生态圈，推动其成为公司业绩增长的新引擎。同花顺AI开放平台目前可面向客户提供数字虚拟人、短视频生成、文章生成、智能金融问答、智能语音、智能客服机器人、智能质检机器人、会议转写系统、智慧政务平台、智能医疗辅助系统等多项AI产品及服务，以及智慧金融、智慧政务、智慧医疗、智慧营销、智慧法律等行业解决方案。,"互联网金融,AI语料,ChatGPT概念,AI应用,AIGC概念,多模态AI,鸿蒙概念,数据要素,AI智能体,人工智能,智能医疗,证金持股,融资融券,深股通,2026中报预增,计算机,软件开发,垂直应用软件",0.3
300078,中游,,,中游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
300229,中游,,,中游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
300365,中游,恒华科技,,中游,,,,,待审核,待审核,待审核,,是,恒华科技,"计算机,软件开发,垂直应用软件",下游,是,2024-02-28,是,【人工智能】2024年2月28日互动易：公司自主研发的人工智能引擎（AI-Engine），实现了神经网络、深度学习、机器视觉等AI技术在电力设计、施工、运维等领域的创新应用，并结合垂直领域的数据积累训练出具有行业和公司特色的模型，已应用于电力工程智能化设计、施工现场智能化管理、电网智能化运维服务等业务场景，为公司相关产品提供强有力的技术支撑。,"电力物联网,虚拟电厂,智慧政务,信创,智能电网,数据要素,鸿蒙概念,智慧城市,时空大数据,MLOps概念,AI智能体,换电概念,华为数字能源,物联网,AIGC概念,在线教育,光伏建筑一体化,AI应用,数字经济,空间计算,人工智能,DeepSeek概念,东数西算(算力),职业教育,碳中和,水利,工业互联网,京津冀一体化,储能,数据中心(AIDC),风电,华为概念,碳交易,低空经济,柔性直流输电,无人机,特高压,养老概念,机器视觉,一带一路,氢能源,燃料电池,计算机,软件开发,垂直应用软件,算电协同,培训维修",0.3
300451,中游,,,中游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
300496,中游,,,中游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
300624,中游,,,中游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
300634,中游,,,中游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
603160,中游,,,中游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
688023,中游,,,中游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
688088,中游,,,中游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
688111,中游,,,中游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
688327,中游,,,中游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
